Kernel,AUC_train,AUC_val,AP_train,AP_val,Accuracy_val,Precision_val,Sensibilidad_val,Especificidad_val,F1_val,Brier_val,LogLoss_val,Diferencia_AUC,Diferencia_AP,Puntaje
Rational Quadratic,0.9979928729113174,0.9672263189323557,0.9979383364341327,0.9697474207323171,0.9038208168642952,0.8908629441624365,0.9212598425196851,0.8862433862433863,0.9058064516129032,0.07789877159797387,0.2813023775800853,0.030766553978961775,0.028190915701815533,2.4528124881205553
RBF-ARD,0.9598778870007878,0.9512630365648738,0.9591474855263822,0.9548004299847938,0.8669301712779973,0.8589743589743589,0.8792650918635171,0.8544973544973545,0.8690012970168612,0.08870843161760417,0.2877120651522169,0.008614850435914034,0.004347055541588429,2.390029416360793
