Kernel,AUC_cal_media,AUC_cal_std,AUC_val_media,AUC_val_std,Gap_AUC_media,Gap_AUC_std,AP_cal_media,AP_cal_std,AP_val_media,AP_val_std,Gap_AP_media,Gap_AP_std,Accuracy_cal_media,Accuracy_cal_std,Accuracy_val_media,Accuracy_val_std,Gap_Accuracy_media,Gap_Accuracy_std,Precision_cal_media,Precision_cal_std,Precision_val_media,Precision_val_std,Gap_Precision_media,Gap_Precision_std,Sensibilidad_cal_media,Sensibilidad_cal_std,Sensibilidad_val_media,Sensibilidad_val_std,Gap_Sensibilidad_media,Gap_Sensibilidad_std,Especificidad_cal_media,Especificidad_cal_std,Especificidad_val_media,Especificidad_val_std,Gap_Especificidad_media,Gap_Especificidad_std,F1_cal_media,F1_cal_std,F1_val_media,F1_val_std,Gap_F1_media,Gap_F1_std,R2_cal_media,R2_cal_std,R2_val_media,R2_val_std,Gap_R2_media,Gap_R2_std,MAE_cal_media,MAE_cal_std,MAE_val_media,MAE_val_std,Gap_MAE_media,Gap_MAE_std,RMSE_cal_media,RMSE_cal_std,RMSE_val_media,RMSE_val_std,Gap_RMSE_media,Gap_RMSE_std,Brier_cal_media,Brier_cal_std,Brier_val_media,Brier_val_std,Gap_Brier_media,Gap_Brier_std,LogLoss_cal_media,LogLoss_cal_std,LogLoss_val_media,LogLoss_val_std,Gap_LogLoss_media,Gap_LogLoss_std,Indice_sobreajuste,Caida_AUC_%,Caida_AP_%,Caida_Accuracy_%,Caida_F1_%,Aumento_Brier_%,Aumento_LogLoss_%,AUC_ajustado
Matérn 0.5,0.9994920045604403,6.213624336419519e-05,0.964762029248336,0.007193465825411144,0.03472997531210439,0.007230608193505576,0.9994933613429119,6.236239095655525e-05,0.9679291717119711,0.007188145156171097,0.03156418963094076,0.007219906203510742,0.988809833163677,0.000877808228482428,0.9047052009548779,0.010616939974451048,0.08410463220879888,0.010645397592688004,0.987976992519027,0.0014884335513180966,0.8962980267262398,0.014589386452497332,0.0916789657927872,0.014908048922627742,0.989763779527559,0.0012054575505822706,0.916535433070866,0.014330924978898674,0.07322834645669292,0.013843822628505363,0.9878474882173989,0.001524310493640402,0.8927736672358186,0.016835829051123977,0.0950738209815802,0.01712703540756063,0.9888685350420875,0.0008710437036160524,0.90619472788989,0.010343751570687156,0.08267380715219762,0.010354139257074771,0.8711478730930344,0.0024809692124490427,0.686850216168949,0.021919905762821355,0.18429765692408545,0.024263328569827058,0.14711634723872968,0.0018399426449078413,0.20818211439514883,0.00709296636595428,0.06106576715641916,0.008525851170408992,0.17947015957556803,0.001732886132433363,0.2796321029410856,0.009778706440549137,0.10016194336551756,0.011415922213297982,0.032212420956653914,0.000620226868068909,0.07828591117091832,0.005479821088550595,0.04607349021426441,0.00606566185235113,0.16788303325923692,0.002254292635342231,0.28055932810797973,0.013940107048570918,0.11267629484874281,0.01609312342176873,0.3918223893670489,3.474762694812948,3.1580189375676646,8.505642782668128,8.360444712570292,143.03020029529105,67.11595130328237,0.9228385881108204
Matérn 1.5,0.9784425576706091,0.0009771863185325475,0.9541447807071926,0.00852114793205882,0.02429777696341648,0.009440452302520668,0.9792970765367278,0.0010188333675412704,0.9550770779613722,0.010098658724882678,0.02421999857535566,0.011050151969521704,0.9256031624460991,0.003299787116452101,0.8869914295777406,0.012323525035598849,0.03861173286835872,0.013081928682192856,0.9272640871250906,0.003341981809773423,0.8843763217492024,0.015517247395770982,0.04288776537588828,0.01673803111228254,0.9243700787401575,0.005687409532753402,0.8918110236220471,0.016669249804988573,0.03255905511811027,0.016739326138669557,0.9268466764395265,0.0036229830996118402,0.882131790299121,0.017719013762657946,0.04471488614040552,0.018948273119357543,0.9258042942549694,0.003414740982301614,0.8879574209304725,0.01218467334956057,0.03784687332449687,0.012877986250108811,0.7561551826987477,0.005768093695102584,0.6677285302400401,0.026404022804847573,0.08842665245870758,0.0317148366562826,0.16309126042086725,0.003034410433826188,0.18824876570629231,0.008603923221958791,0.02515750528542511,0.010889063909096598,0.24688418515068405,0.0029310838227970225,0.2879925048012262,0.011481712487085929,0.041108319650542145,0.01417346321099255,0.06096004847979847,0.0014419905945438026,0.08306623935445497,0.006600840740704504,0.022106190874656505,0.007928512311724503,0.2200651631362034,0.0043634593195601284,0.2813433466074858,0.019159954222681273,0.06127818347128243,0.023366872737189143,0.20836075607756666,2.4833115416874896,2.4732023770569547,4.171521277684376,4.087999327649881,36.26340763489101,27.84547204018653,0.9213258558117172
Rational Quadratic,0.9984108575848947,0.00024666745837564403,0.9630339882813453,0.007284579593380571,0.0353768693035494,0.00743461745371106,0.9982803417422694,0.0003102451840089119,0.9656624972703177,0.007569085262905394,0.03261784447195174,0.0077449089687453045,0.9856069919248795,0.001098495556716265,0.9031237036747154,0.010933405024330477,0.0824832882501644,0.01097981532716945,0.9834657753768025,0.0019889717901471642,0.8944543664078723,0.01364420539542574,0.08901140896893008,0.014408991793010573,0.9879527559055119,0.0013709043579905604,0.9152755905511811,0.01442614811932946,0.07267716535433072,0.013877836413577616,0.983240609385098,0.0020535277069866197,0.8908676405489154,0.015492408009359972,0.09237296883618253,0.016293756230899563,0.9857024567296309,0.0010843055458189335,0.9046590265957196,0.010774841573849048,0.08104343013391123,0.010770662023852361,0.8640272517394869,0.002736670579225821,0.6823214078312853,0.0219655880891359,0.18170584390820166,0.02446503362894771,0.15008933576316716,0.001765382057879675,0.2105358843045833,0.00685405734153374,0.06044654854141616,0.008324738236648754,0.18436162556014912,0.0018634695753909877,0.28165215542585026,0.009690782736307076,0.09729052986570115,0.011395704742373985,0.033992542597284695,0.0006841538390422735,0.07941809147526792,0.005491244336398468,0.04542554887798324,0.006116093607424416,0.17299038614276935,0.002288517042483207,0.2846278720564816,0.014108241298798575,0.11163748591371228,0.0163173151356048,0.38858446695127224,3.5433177669085234,3.2674032641997877,8.368780753987469,8.221895926159867,133.63386615749008,64.53392492087832,0.9203725393844153
