Kernel,Fold,AUC_cal,AUC_val,Gap_AUC,AP_cal,AP_val,Gap_AP,Accuracy_cal,Accuracy_val,Gap_Accuracy,Precision_cal,Precision_val,Gap_Precision,Sensibilidad_cal,Sensibilidad_val,Gap_Sensibilidad,Especificidad_cal,Especificidad_val,Gap_Especificidad,F1_cal,F1_val,Gap_F1,R2_cal,R2_val,Gap_R2,MAE_cal,MAE_val,Gap_MAE,RMSE_cal,RMSE_val,Gap_RMSE,Brier_cal,Brier_val,Gap_Brier,LogLoss_cal,LogLoss_val,Gap_LogLoss
Rational Quadratic,1,0.9988769557976057,0.9568178977627796,0.042059058034826124,0.9988972815321874,0.9615386303399822,0.03735865119220516,0.986159169550173,0.8972332015810277,0.08892596796914531,0.982421875,0.8768656716417911,0.10555620335820892,0.9901574803149606,0.9251968503937008,0.06496062992125984,0.9821251241310824,0.8690476190476191,0.11307750508346337,0.9862745098039216,0.9003831417624522,0.08589136804146946,0.8661320075745559,0.6682534256554461,0.19787858191910979,0.14900327395700796,0.21262228262256863,0.06361900866556067,0.18293806526277684,0.28798497857230443,0.10504691330952759,0.033466335722088,0.08293534788329066,0.049469012161202655,0.1712232757973919,0.29632918563475164,0.12510590983735972
Rational Quadratic,2,0.9984488501747608,0.969910011248594,0.02853883892616682,0.9983211175053514,0.9722364321430048,0.026084685362346538,0.9871478002965892,0.9169960474308301,0.07015175286575914,0.9852941176470589,0.9015151515151515,0.08377896613190738,0.9891732283464567,0.937007874015748,0.05216535433070868,0.9851042701092354,0.8968253968253969,0.08827887328383854,0.9872298624754421,0.918918918918919,0.06831094355652312,0.8613442340837562,0.70974166901172,0.15160256507203618,0.15207915046141487,0.20068530048273467,0.048606150021319794,0.1861807063169809,0.2693760365824804,0.0831953302654995,0.03466325540468989,0.07256344908488581,0.03790019368019592,0.1753699262000841,0.26755926956711873,0.09218934336703463
Rational Quadratic,3,0.9980383379336769,0.9686601674790651,0.029378170454611774,0.9979150878976382,0.9691124453850622,0.028802642512575916,0.9851705388037568,0.9189723320158103,0.06619820678794652,0.9805068226120858,0.9080459770114943,0.07246084560059152,0.9901574803149606,0.9330708661417323,0.057086614173228356,0.9801390268123138,0.9047619047619048,0.07537712205040903,0.9853085210577864,0.920388349514563,0.06492017154322338,0.8612000124952133,0.7025691745504951,0.15863083794471822,0.150835086933118,0.20584778767821849,0.05501270074510048,0.18627750827250006,0.2726839648504748,0.08640645657797474,0.03469931008821133,0.07435654468657499,0.03965723459836366,0.17445078232162792,0.2734340835820972,0.09898330126046928
Rational Quadratic,4,0.998611100250999,0.9669728783902012,0.03163822186079779,0.9984659152590959,0.968787035508183,0.02967887975091288,0.9846762234305487,0.9169960474308301,0.06768017599971865,0.9833169774288518,0.9173228346456693,0.0659941427831825,0.9862204724409449,0.9173228346456693,0.06889763779527558,0.9831181727904668,0.9166666666666666,0.06645150612380013,0.9847665847665847,0.9173228346456693,0.06744375012091541,0.8636937986164324,0.6926993632576954,0.17099443535873693,0.15099248655512365,0.2098666057876983,0.058874119232574657,0.18459652189914558,0.2771713530674579,0.0925748311683123,0.034075875897261736,0.0768239589612454,0.042748083063983665,0.1737504643475261,0.2784095803374277,0.10465911598990157
Rational Quadratic,5,0.9982541244844395,0.954465602158296,0.0437885223261435,0.9979428654286885,0.9590661443172048,0.03887672111148366,0.9846837944664032,0.8871287128712871,0.09755508159511606,0.9823702252693438,0.8924302788844621,0.08993994638488167,0.9872047244094488,0.8818897637795275,0.1053149606299213,0.9821428571428571,0.8924302788844621,0.08971257825839496,0.9847815414825725,0.8871287128712871,0.09765282861128532,0.8680332837739246,0.6498618235098517,0.21817146026407297,0.14744502417858002,0.22065891794444076,0.07321389376586074,0.18163469832059864,0.2958571529824768,0.11422245466187814,0.03299116363401488,0.08753145497089668,0.0545402913368818,0.16988811809983198,0.30379335744471797,0.133905239344886
Rational Quadratic,6,0.9982406618239253,0.9726752905886764,0.025565371235248935,0.9980772127743441,0.9738695639845799,0.024207648789764225,0.986159169550173,0.9110671936758893,0.07509197587428373,0.9833659491193738,0.8943396226415095,0.08902632647786435,0.9891732283464567,0.9330708661417323,0.05610236220472442,0.9831181727904668,0.8888888888888888,0.09422928390157792,0.9862610402355251,0.9132947976878613,0.07296624254766382,0.8620469357117224,0.6945667839439024,0.16748015176782005,0.15171749168275708,0.2127846908144304,0.06106719913167333,0.1857083290396383,0.2763279050028789,0.0906195759632406,0.034487583474694564,0.07635711108328008,0.04186952760858552,0.174995997253096,0.2780566800884763,0.10306068283538028
Rational Quadratic,7,0.9980627731861224,0.9754405699287589,0.022622203257363416,0.9979416861390102,0.97748560843297,0.020456077706040188,0.9836875926841325,0.9189723320158103,0.06471526066832223,0.9795121951219512,0.9243027888446215,0.05520940627732973,0.9881889763779528,0.9133858267716536,0.07480314960629919,0.9791459781529295,0.9246031746031746,0.054542803549754826,0.9838314551690348,0.9188118811881189,0.06501957398091596,0.8596595183352405,0.7188391619901313,0.14082035634510914,0.15364092032307566,0.19827009464817846,0.0446291743251028,0.18730837142470905,0.26512093725763763,0.07781256583292859,0.03508442600577676,0.07028911137236823,0.03520468536659147,0.17752151495854832,0.2591966122932108,0.08167509733466247
Rational Quadratic,8,0.9983384028337073,0.9641294838145232,0.0342089190191841,0.9981219728148878,0.9689350783482538,0.029186894466634028,0.9856648541769649,0.8952569169960475,0.09040793718091744,0.9833496571988247,0.8850574712643678,0.09829218593445688,0.9881889763779528,0.9094488188976378,0.07874015748031493,0.9831181727904668,0.8809523809523809,0.10216579183808583,0.9857633775159549,0.8970873786407767,0.08867599887517819,0.8634910826491117,0.6856192432201448,0.1778718394289669,0.15049860549489957,0.20957633390103567,0.05907772840613609,0.18473373781214156,0.2803461455376244,0.09561240772548282,0.03412655388604506,0.07859396131780286,0.0444674074317578,0.17353937291088153,0.28182574605089133,0.1082863731400098
Rational Quadratic,9,0.9987928985291933,0.9482564679415074,0.050536430587685865,0.9988134119528015,0.9476818839615699,0.05113152799123155,0.9866534849233811,0.8873517786561265,0.09930170626725465,0.9862340216322517,0.8661710037174721,0.12006301791477958,0.9872047244094488,0.9173228346456693,0.06988188976377951,0.9860973187686196,0.8571428571428571,0.12895446162576252,0.9867191342843089,0.8910133843212237,0.09570574996308523,0.8707782652327919,0.635893344177177,0.23488492105561487,0.14599012829219282,0.22434032688705144,0.07835019859485862,0.17973534515336967,0.30170389766137107,0.1219685525080014,0.03230479429740093,0.09102524186406308,0.05872044756666215,0.1674561543084814,0.31502314779638013,0.14756699348789873
Rational Quadratic,10,0.9983283339582553,0.9618376886156164,0.036490645342638905,0.9981504095303706,0.9657977010245383,0.03235270850583227,0.9846837944664032,0.902970297029703,0.0817134974367002,0.9833169774288518,0.9051383399209486,0.07817863750790321,0.9862204724409449,0.9015748031496063,0.08464566929133865,0.9831349206349206,0.9043824701195219,0.0787524505153987,0.9847665847665847,0.903353057199211,0.08141352756737374,0.8633017817372504,0.6817926654956588,0.1815091162415916,0.14927804876309875,0.20779079006750537,0.05851274130440662,0.18486216666303668,0.2820443691860363,0.09718220252299964,0.034174020663352345,0.07954902618954915,0.045375005526196804,0.17242565038755348,0.28355971280352055,0.11113406241596707
